; PERSON  C:\Users\anthony_raborn\OneDrive - National Association of Boards of Pharmacy\an  Dec  9 2023  0:20
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
    75  -.6467  1   200.0     83.0  .1847    .84  -1.58    .73  -1.92  .0000    .71   1.00  83.0  80.1   .63   .35  -.6470 0075
    76   .6195  1   200.0    120.0  .1845   1.02    .25   1.14    .92  .0000    .60   1.00  80.0  79.8   .62   .39   .6197 0076
    77  -.8851  1   200.0     76.0  .1845    .86  -1.50    .80  -1.26  .0000    .68   1.00  81.0  79.0   .61   .36  -.8851 0077
    78   .4492  1   200.0    115.0  .1847    .96   -.36    .93   -.47  .0000    .65   1.00  80.0  80.5   .63   .37   .4495 0078
    79   .8916  1   200.0    128.0  .1844   1.10   1.14   1.28   1.53  .0000    .54   1.00  75.5  78.6   .60   .40   .8914 0079
    80   .0727  1   200.0    104.0  .1852    .88  -1.11    .87  -1.00  .0000    .70   1.00  84.0  81.4   .64   .36   .0728 0080
    81  3.2798  1   200.0    184.0  .2737   1.01    .12    .56   -.66  .0000    .30   1.00  92.0  92.0   .29   .26  3.2543 0081
    82  -.3733  1   200.0     91.0  .1851    .95   -.45   1.04    .36  .0000    .65   1.00  83.0  81.1   .64   .37  -.3736 0082
    83  -.8171  1   200.0     78.0  .1845   1.15   1.53   1.30   1.76  .0000    .54   1.00  75.5  79.3   .61   .41  -.8172 0083
    84  -.2019  1   200.0     96.0  .1852    .83  -1.60    .81  -1.46  .0000    .72   1.00  85.0  81.4   .64   .35  -.2020 0084
    85   .6536  1   200.0    121.0  .1844   1.04    .42    .99    .00  .0000    .60   1.00  78.0  79.7   .62   .39   .6537 0085
    86  -.7830  1   200.0     79.0  .1845    .99   -.07    .97   -.14  .0000    .62   1.00  80.0  79.5   .62   .38  -.7832 0086
    87  2.3312  1   200.0    167.0  .2108    .98   -.18   1.19    .59  .0000    .41   1.00  83.0  83.7   .41   .33  2.3222 0087
    88   .0040  1   200.0    102.0  .1853   1.01    .13    .99   -.04  .0000    .64   1.00  82.0  81.5   .64   .38   .0041 0088
    89  -.8171  1   200.0     78.0  .1845   1.01    .14    .95   -.28  .0000    .61   1.00  78.5  79.3   .61   .39  -.8172 0089
    90   .6195  1   200.0    120.0  .1845    .90  -1.00    .84  -1.02  .0000    .67   1.00  83.0  79.8   .62   .36   .6197 0090
    91 -1.3639  1   200.0     62.0  .1860   1.15   1.74   1.34   1.55  .0000    .48   1.00  74.5  77.4   .56   .41 -1.3626 0091
    92   .5174  1   200.0    117.0  .1846   1.01    .13   1.08    .56  .0000    .61   1.00  81.0  80.2   .63   .38   .5176 0092
    93 -1.0213  1   200.0     72.0  .1846    .93   -.80    .84   -.88  .0000    .64   1.00  80.5  78.4   .60   .37 -1.0211 0093
    94  2.1180  1   200.0    162.0  .2026    .96   -.39    .87   -.29  .0000    .46   1.00  82.5  81.5   .44   .34  2.1112 0094
    95  -.3048  1   200.0     93.0  .1851   1.06    .54   1.07    .52  .0000    .62   1.00  79.5  81.2   .64   .39  -.3050 0095
    96  -.1676  1   200.0     97.0  .1853   1.07    .62   1.09    .69  .0000    .61   1.00  80.5  81.4   .64   .39  -.1677 0096
    97  2.1594  1   200.0    163.0  .2040   1.03    .40    .93   -.10  .0000    .43   1.00  81.0  81.9   .44   .35  2.1521 0097
    98   .0727  1   200.0    104.0  .1852   1.03    .33   1.10    .79  .0000    .62   1.00  80.0  81.4   .64   .39   .0728 0098
    99 -1.4681  1   200.0     59.0  .1868    .97   -.42    .80   -.88  .0000    .58   1.00  76.5  77.3   .55   .37 -1.4664 0099
   100   .9256  1   200.0    129.0  .1845    .91   -.96    .86   -.75  .0000    .64   1.00  81.5  78.5   .59   .37   .9253 0100
   101   .0727  1   200.0    104.0  .1852    .99   -.05    .97   -.17  .0000    .65   1.00  82.0  81.4   .64   .38   .0728 0101
   102   .3125  1   200.0    111.0  .1849   1.01    .09   1.00    .08  .0000    .63   1.00  81.0  80.9   .64   .38   .3128 0102
   103   .5174  1   200.0    117.0  .1846   1.00   -.01    .92   -.51  .0000    .63   1.00  80.0  80.2   .63   .38   .5176 0103
   104  1.5488  1   200.0    147.0  .1891   1.07    .96   1.14    .63  .0000    .48   1.00  76.0  77.1   .52   .39  1.5461 0104
   105   .3809  1   200.0    113.0  .1848   1.08    .74   1.11    .81  .0000    .59   1.00  79.5  80.7   .63   .40   .3812 0105
   106   .9596  1   200.0    130.0  .1845    .98   -.25   1.04    .29  .0000    .60   1.00  79.0  78.3   .59   .38   .9593 0106
   107   .3125  1   200.0    111.0  .1849   1.01    .17   1.10    .73  .0000    .62   1.00  80.0  80.9   .64   .39   .3128 0107
   108   .8236  1   200.0    126.0  .1844   1.21   2.10   1.26   1.44  .0000    .51   1.00  73.5  78.9   .60   .42   .8235 0108
   109   .2441  1   200.0    109.0  .1850    .86  -1.34    .79  -1.60  .0000    .71   1.00  83.0  81.1   .64   .35   .2443 0109
   110  -.4418  1   200.0     89.0  .1850    .91   -.79    .84  -1.13  .0000    .68   1.00  83.0  80.9   .64   .37  -.4421 0110
   111  -.9873  1   200.0     73.0  .1845    .84  -1.74    .75  -1.55  .0000    .68   1.00  81.0  78.6   .60   .35  -.9871 0111
   112  -.1676  1   200.0     97.0  .1853   1.05    .46   1.13    .97  .0000    .61   1.00  81.5  81.4   .64   .39  -.1677 0112
   113  1.8807  1   200.0    156.0  .1956    .98   -.29   1.22    .80  .0000    .48   1.00  80.5  79.1   .48   .36  1.8758 0113
   114   .4833  1   200.0    116.0  .1847    .94   -.55    .95   -.28  .0000    .65   1.00  82.5  80.3   .63   .37   .4836 0114
   115  -.2362  1   200.0     95.0  .1852   1.13   1.18   1.11    .84  .0000    .59   1.00  77.5  81.3   .64   .41  -.2364 0115
   116   .8916  1   200.0    128.0  .1844   1.04    .48   1.09    .55  .0000    .57   1.00  78.5  78.6   .60   .39   .8914 0116
   117  -.1333  1   200.0     98.0  .1853   1.06    .56   1.09    .71  .0000    .62   1.00  80.0  81.5   .64   .39  -.1333 0117
   118  -.4076  1   200.0     90.0  .1850    .96   -.31    .96   -.24  .0000    .66   1.00  81.5  81.0   .64   .37  -.4078 0118
   119  1.3027  1   200.0    140.0  .1863   1.01    .21    .98   -.04  .0000    .55   1.00  76.5  77.1   .55   .38  1.3011 0119
   120 -1.7887  1   200.0     50.0  .1911   1.05    .62   1.19    .78  .0000    .48   1.00  77.5  77.8   .51   .38 -1.7853 0120
   121  -.0990  1   200.0     99.0  .1853   1.10    .89   1.14   1.02  .0000    .60   1.00  79.5  81.5   .64   .40  -.0990 0121
   122   .3125  1   200.0    111.0  .1849   1.02    .26    .98   -.06  .0000    .63   1.00  80.0  80.9   .64   .39   .3128 0122
   123  -.0990  1   200.0     99.0  .1853    .91   -.81    .89   -.81  .0000    .68   1.00  83.5  81.5   .64   .36  -.0990 0123
   124   .2783  1   200.0    110.0  .1850   1.00    .03   1.10    .72  .0000    .63   1.00  80.5  81.0   .64   .38   .2786 0124
   125  -.4076  1   200.0     90.0  .1850    .88  -1.11    .82  -1.34  .0000    .69   1.00  83.5  81.0   .64   .36  -.4078 0125
   126   .7216  1   200.0    123.0  .1844   1.15   1.52   1.15    .92  .0000    .54   1.00  74.5  79.4   .61   .41   .7217 0126
   127  -.5785  1   200.0     85.0  .1848    .86  -1.38    .82  -1.25  .0000    .69   1.00  85.0  80.4   .63   .35  -.5788 0127
   128 -1.6802  1   200.0     53.0  .1894   1.10   1.25   1.22    .89  .0000    .47   1.00  72.5  77.5   .52   .39 -1.6774 0128
   129   .4150  1   200.0    114.0  .1848   1.02    .21   1.02    .16  .0000    .63   1.00  81.5  80.6   .63   .39   .4153 0129
   130  -.9873  1   200.0     73.0  .1845   1.01    .16    .94   -.27  .0000    .60   1.00  78.0  78.6   .60   .39  -.9871 0130
   131  -.0990  1   200.0     99.0  .1853   1.11   1.02   1.14   1.08  .0000    .59   1.00  78.5  81.5   .64   .40  -.0990 0131
   132  1.1991  1   200.0    137.0  .1855    .97   -.39    .93   -.27  .0000    .58   1.00  76.5  77.3   .56   .37  1.1979 0132
   133   .9937  1   200.0    131.0  .1846    .84  -1.87    .74  -1.48  .0000    .67   1.00  81.5  78.1   .59   .35   .9932 0133
   134  -.0646  1   200.0    100.0  .1853    .81  -1.77    .83  -1.29  .0000    .72   1.00  86.0  81.5   .64   .34  -.0646 0134
   135   .0383  1   200.0    103.0  .1853   1.03    .34    .99   -.01  .0000    .63   1.00  79.5  81.4   .64   .39   .0385 0135
   136  -.5785  1   200.0     85.0  .1848   1.02    .23   1.07    .49  .0000    .62   1.00  81.0  80.4   .63   .39  -.5788 0136
   137  -.0303  1   200.0    101.0  .1853    .86  -1.31    .84  -1.25  .0000    .71   1.00  84.5  81.5   .64   .35  -.0303 0137
   138   .7216  1   200.0    123.0  .1844   1.07    .76   1.06    .40  .0000    .58   1.00  77.5  79.4   .61   .40   .7217 0138
   139   .4492  1   200.0    115.0  .1847    .96   -.32    .90   -.65  .0000    .65   1.00  82.0  80.5   .63   .38   .4495 0139
   140   .6536  1   200.0    121.0  .1844    .99   -.07   1.02    .20  .0000    .62   1.00  81.0  79.7   .62   .38   .6537 0140
   141   .6536  1   200.0    121.0  .1844    .91   -.88    .84  -1.04  .0000    .66   1.00  82.0  79.7   .62   .37   .6537 0141
   142   .9596  1   200.0    130.0  .1845    .77  -2.73    .63  -2.30  .0000    .70   1.00  84.0  78.3   .59   .34   .9593 0142
   143 -1.1236  1   200.0     69.0  .1848    .93   -.80    .84   -.83  .0000    .63   1.00  77.5  78.0   .59   .37 -1.1231 0143
   144  -.5785  1   200.0     85.0  .1848    .78  -2.18    .70  -2.24  .0000    .73   1.00  86.0  80.4   .63   .34  -.5788 0144
   145  -.5444  1   200.0     86.0  .1848   1.02    .27   1.03    .25  .0000    .62   1.00  80.5  80.5   .63   .39  -.5446 0145
   146  -.4418  1   200.0     89.0  .1850   1.00    .07   1.07    .55  .0000    .63   1.00  82.0  80.9   .64   .38  -.4421 0146
   147 -1.0895  1   200.0     70.0  .1847    .91   -.99    .82   -.97  .0000    .64   1.00  78.0  78.1   .59   .37 -1.0891 0147
   148  -.2362  1   200.0     95.0  .1852   1.08    .72   1.05    .40  .0000    .61   1.00  78.5  81.3   .64   .40  -.2364 0148
   149  -.4076  1   200.0     90.0  .1850   1.00    .07   1.10    .72  .0000    .63   1.00  81.5  81.0   .64   .38  -.4078 0149
   150 -3.4938  1   200.0     15.0  .2813    .97   -.06    .49   -.79  .0000    .31   1.00  92.5  92.5   .28   .25 -3.4662 0150
   151   .5514  1   200.0    118.0  .1846   1.07    .73   1.01    .13  .0000    .60   1.00  79.0  80.1   .62   .40   .5517 0151
   152   .1413  1   200.0    106.0  .1852    .97   -.20   1.00    .03  .0000    .65   1.00  82.0  81.3   .64   .38   .1415 0152
   153   .4150  1   200.0    114.0  .1848    .90   -.91    .90   -.69  .0000    .67   1.00  82.5  80.6   .63   .36   .4153 0153
   154   .6876  1   200.0    122.0  .1844    .70  -3.40    .61  -2.76  .0000    .75   1.00  87.0  79.5   .61   .32   .6877 0154
   155  -.8511  1   200.0     77.0  .1845    .91   -.88    .89   -.64  .0000    .65   1.00  81.0  79.2   .61   .37  -.8512 0155
   156   .2441  1   200.0    109.0  .1850    .95   -.43    .96   -.25  .0000    .66   1.00  83.0  81.1   .64   .37   .2443 0156
   157  1.4777  1   200.0    145.0  .1881   1.10   1.28   1.14    .65  .0000    .48   1.00  75.0  77.0   .53   .39  1.4753 0157
   158 -1.3294  1   200.0     63.0  .1857   1.11   1.31   1.19    .92  .0000    .51   1.00  74.0  77.4   .57   .40 -1.3282 0158
   159  -.6808  1   200.0     82.0  .1846    .95   -.51    .91   -.57  .0000    .65   1.00  80.5  80.0   .62   .37  -.6811 0159
   160   .0040  1   200.0    102.0  .1853    .76  -2.32    .74  -2.16  .0000    .75   1.00  87.0  81.5   .64   .33   .0041 0160
